region;municipality;settlement;latitude;longitude;fullOfficeName
Ивановская область;Южский район;Южа;56.5836111111111;42.011944444444396;Ивановская область, Южский район, г. Южа
Ивановская область;Юрьевецкий район;Юрьевец;57.3177777777778;43.1111111111111;Ивановская область, Юрьевецкий район, г. Юрьевец
Иркутская область;Ангарский район;Ангарск;52.5441666666667;103.888055555556;Иркутская область, Ангарский район, г. Ангарск
Иркутская область;Бодайбинский район;Бодайбо;57.8519444444444;114.198888888889;Иркутская область, Бодайбинский район, г. Бодайбо
Иркутская область;;Братск;56.1513888888889;101.634166666667;Иркутская область, г. Братск
Иркутская область;Братский район;Вихоревка;56.1208333333333;101.170277777778;Иркутская область, Братский район, г. Вихоревка
Иркутская область;;Зима;53.91027777777779;102.043333333333;Иркутская область, г. Зима
Иркутская область;;Иркутск;52.2863888888889;104.28055555555599;Иркутская область, г. Иркутск
Иркутская область;Киренский район;Киренск;57.7758333333333;108.11083333333299;Иркутская область, Киренский район, г. Киренск
Иркутская область;Нижнеилимский район;Железногорск-Илимский;56.584722222222204;104.114166666667;Иркутская область, Нижнеилимский район, г. Железногорск-Илимский
Иркутская область;Нижнеудинский район;Алзамай;55.555;98.6641666666667;Иркутская область, Нижнеудинский район, г. Алзамай
Иркутская область;Нижнеудинский район;Нижнеудинск;54.9011111111111;99.02638888888892;Иркутская область, Нижнеудинский район, г. Нижнеудинск
Иркутская область;;Саянск;54.110833333333304;102.180277777778;Иркутская область, г. Саянск
Иркутская область;;Свирск;53.0841666666667;103.336388888889;Иркутская область, г. Свирск
Иркутская область;Слюдянский район;Байкальск;51.5230555555556;104.148611111111;Иркутская область, Слюдянский район, г. Байкальск
Иркутская область;Слюдянский район;Слюдянка;51.656388888888905;103.71861111111099;Иркутская область, Слюдянский район, г. Слюдянка
Иркутская область;Тайшетский район;Бирюсинск;55.960833333333305;97.82055555555559;Иркутская область, Тайшетский район, г. Бирюсинск
Иркутская область;Тайшетский район;Тайшет;55.9405555555556;98.00305555555559;Иркутская область, Тайшетский район, г. Тайшет
Иркутская область;;Тулун;54.5572222222222;100.57805555555599;Иркутская область, г. Тулун
Иркутская область;;Усолье-Сибирское;52.756666666666696;103.63888888888901;Иркутская область, г. Усолье-Сибирское
Иркутская область;;Усть-Илимск;57.9430555555556;102.741388888889;Иркутская область, г. Усть-Илимск
Иркутская область;Усть-Кутский район;Усть-Кут;56.79277777777779;105.775555555556;Иркутская область, Усть-Кутский район, г. Усть-Кут
Иркутская область;;Черемхово;53.136944444444396;103.09;Иркутская область, г. Черемхово
Иркутская область;Шелеховский район;Шелехов;52.2102777777778;104.0975;Иркутская область, Шелеховский район, г. Шелехов
Кабардино-Балкарская республика;;Баксан;43.6819444444444;43.5344444444444;Кабардино-Балкарская республика, г. Баксан
Кабардино-Балкарская республика;Майский район;Майский;43.6283333333333;44.0516666666667;Кабардино-Балкарская республика, Майский район, г. Майский
Кабардино-Балкарская республика;;Нальчик;43.485277777777796;43.6069444444444;Кабардино-Балкарская республика, г. Нальчик
Кабардино-Балкарская республика;;Прохладный;43.758888888888904;44.010277777777794;Кабардино-Балкарская республика, г. Прохладный
Кабардино-Балкарская республика;Терский район;Терек;43.483888888888906;44.1402777777778;Кабардино-Балкарская республика, Терский район, г. Терек
